imo,name_of_ship_ref,ship_type_ref,ship_type_group,dwt,tpc
1019905,BRAM RIO,Platform Supply Ship,Platform Supply Ship,5496,0
1019917,BWEK BEACON,LPG Tanker,LPG-Small Gas Carrier,7139,19.8
1019929,IRIS CORAL,LPG Tanker,LPG-Small Gas Carrier,3748,0
1019943,AZALEA CORAL,LPG Tanker,LPG-Small Gas Carrier,5198,0
1019955,MORNING LUNA,LPG Tanker,LPG-Small Gas Carrier,5165,15.5
1019967,MORNING MAYA,LPG Tanker,LPG-Small Gas Carrier,5186,15.5
1019979,CLAYTON,Chemical/Products Tanker,Tanker-Handy,13237,23.1
1020021,YONG XIN 25,Container Ship (Fully Cellular),Containership-Feedermax,35816,0
1020045,UM KANDA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82801,0
1020057,UM EHIME,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82818,0
1020069,AOM PIERA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82823,0
1020071,AOM ANA MARIA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82792,0
1020083,AQUASALWADOR,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82835,0
1020095,AQUAPEACE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82500,0
1020318,EXPRESS 98,Crew/Supply Vessel,Crew/Supply Vessel,145,0
1020409,MINERVA KALLIOPE,Crude Oil Tanker,Tanker-Suezmax,157564,0
1020411,MINERVA KALLIRROI,Crude Oil Tanker,Tanker-Suezmax,157516,0
1020447,BBC NEPTUNE,Bulk Carrier,Bulk Carrier-Handymax,40457,0
1020459,BBC PLUTO,Bulk Carrier,Bulk Carrier-Handymax,40459,0
1020461,HG LIVERPOOL,Bulk Carrier,Bulk Carrier-Handymax,40184,0
1020502,HG VANCOUVER,Bulk Carrier,Bulk Carrier-Handymax,40179,0
1020514,YORK,Bulk Carrier,Bulk Carrier-Handymax,40500,0
1020526,HULL,Bulk Carrier,Bulk Carrier-Handymax,40500,0
1020538,STOCKTON,Bulk Carrier,Bulk Carrier-Handymax,40500,0
1020540,FANOULA,Bulk Carrier,Bulk Carrier-Handymax,41240,0
1020552,LARA,Bulk Carrier,Bulk Carrier-Handymax,41264,0
1020564,ERMIONE,Bulk Carrier,Bulk Carrier-Handymax,41240,0
1020576,XIN LIN HAI 19,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8597,0
1020590,GRANDE SEOUL,Vehicles Carrier,"PCC/PCTC => 4,000 cars",21716,0
1020605,GRANDE TOKYO,Vehicles Carrier,"PCC/PCTC => 4,000 cars",21802,0
1020617,ECO SIROCCO,Container Ship (Fully Cellular),Containership-Regional Feeder,14612,0
1020629,ECO BORA,Container Ship (Fully Cellular),Containership-Regional Feeder,14586,0
1020631,ECO KHAMSIN,Container Ship (Fully Cellular),Containership-Regional Feeder,14457,0
1020643,ECO MISTRAL,Container Ship (Fully Cellular),Containership-Regional Feeder,14457,0
1020655,ECO GHIBLI,Container Ship (Fully Cellular),Containership-Regional Feeder,14504,0
1020667,ECO PAMPERO,Container Ship (Fully Cellular),Containership-Regional Feeder,14502,0
1020679,SKIATHOS,Bulk Carrier,Bulk Carrier-Newcastlemax,211322,0
1020681,ALONISOS,Bulk Carrier,Bulk Carrier-Newcastlemax,211311,0
1020693,SKOPELOS,Bulk Carrier,Bulk Carrier-Newcastlemax,211270,0
1020708,MYKONOS,Bulk Carrier,Bulk Carrier-Newcastlemax,211343,0
1020760,NORSE INNOSHIMA,Bulk Carrier,Bulk Carrier-Handymax,40058,0
1020772,HANDY TRADITION,Bulk Carrier,Bulk Carrier-Handymax,40100,0
1020784,BELLE CHANCE,Bulk Carrier,Bulk Carrier-Handymax,40058,0
1020813,SHUN KAI 87,Products Tanker,"Tanker-<=4,999dwt",3665,0
1020825,FARRA AISLING,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1020837,FARRA BECKETT,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1020849,FARRA JOYCE,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1020851,EXPRESS STAR,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7499,0
1020863,MERIBEL,LPG Tanker,LPG-Medium Gas Carrier,31563,0
1020875,MENUIRES,LPG Tanker,LPG-Medium Gas Carrier,31531,0
1020899,BAHTERA DAMAI,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8516,0
1020916,GRAND EMERALD,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8520,0
1020930,ATLANTIC PEARL,Crude/Oil Products Tanker,Tanker-LR2,111669,101.6
1020942,ATLANTIC TOPAZ,Crude/Oil Products Tanker,Tanker-LR2,111742,0
1020966,YONG JING,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7495,0
1020992,ZHONG CHUAN HAI YUN,General Cargo Ship,"General Cargo 15,000-19,999dwt",17300,0
1021051,CMA CGM MONTE CRISTO,Container Ship (Fully Cellular),Containership-New Panamax,158064,0
1021075,CMA CGM D'ARTAGNAN,Container Ship (Fully Cellular),Containership-New Panamax,158106,0
1021087,CMA CGM CYRANO,Container Ship (Fully Cellular),Containership-New Panamax,158114,0
1021099,CMA CGM ROI ARTHUR,Container Ship (Fully Cellular),Containership-New Panamax,157947,0
1021104,CMA CGM LORENZACCIO,Container Ship (Fully Cellular),Containership-New Panamax,156100,0
1021116,CMA CGM ANDROMAQUE,Container Ship (Fully Cellular),Containership-New Panamax,156100,0
1021180,JAL DHVANI,Chemical/Products Tanker,Tanker-MR2,50667,53.2
1021192,JAL SITARA,Chemical/Products Tanker,Tanker-MR2,49990,53.2
1021207,HENKE,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5020,0
1021257,TENG CHONG 188,Aggregates Carrier,Aggregates Carrier,10491,0
1021295,BC LIBERTY,Bulk Carrier,Bulk Carrier-Handymax,40354,0
1021300,BC INTEGRITY,Bulk Carrier,Bulk Carrier-Handymax,40319,0
1021374,CL SPRUCE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64181,0
1021386,ANJI ANSHENG,Vehicles Carrier,"PCC/PCTC => 4,000 cars",24664,0
1021398,ANJI SOUNDNESS,Vehicles Carrier,"PCC/PCTC => 4,000 cars",24670,0
1021403,ANJI PROSPERITY,Vehicles Carrier,"PCC/PCTC => 4,000 cars",24652,0
1021415,ANJI FOREVER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",24604,0
1021594,SPA,Crude/Oil Products Tanker,Tanker-LR2,112268,103.9
1021609,MONZA,Crude/Oil Products Tanker,Tanker-LR2,112295,100.4
1021611,OROSHI,Chemical/Products Tanker,Tanker-Handy,18391,0
1021673,GINOSTRA M,Chemical/Products Tanker,Tanker-Handy,18639,30.3
1021685,PRIMO M,Chemical/Products Tanker,Tanker-Handy,18669,0
1021697,OSTRO I,Chemical/Products Tanker,Tanker-Handy,18653,0
1021702,BISE,Chemical/Products Tanker,Tanker-Handy,18644,33.3
1021714,KAREN OLDENDORFF,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82116,0
1021726,KALLE OLDENDORFF,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82117,0
1021738,KODY OLDENDORFF,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82122,0
1021740,KATY OLDENDORFF,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82118,0
1021752,KEVIN OLDENDORFF,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82125,0
1021764,PYRROS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1021776,LAMU,Crude/Oil Products Tanker,Tanker-LR2,113633,100.3
1021788,DUNE,Crude/Oil Products Tanker,Tanker-LR2,113667,100.3
1021790,ROBOLA,Crude/Oil Products Tanker,Tanker-LR2,113613,100.3
1021829,NEOLINER ORIGIN,Ro-Ro Cargo Ship,"Ro-ro cargo 1,000-1,499 LM",6598,0
1021881,CL GUANGZHOU,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64730,0
1021893,CL FOSHAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64744,0
1021910,JI HANG 56,Bulk Carrier,Bulk Carrier-Small Handy,15619,0
1021922,TRIPITI,Chemical/Products Tanker,Tanker-MR2,49995,53.3
1021934,LAGERI,Chemical/Products Tanker,Tanker-MR2,49996,53.3
1021958,GAIN SPRING,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7850,0
1022079,ALGOMA EAST COAST,Chemical/Products Tanker,Tanker-MR1,37242,0
1022081,ALGOMA ACADIAN,Chemical/Products Tanker,Tanker-MR1,37242,0
1022122,HOANG ANH 09,Bulk Carrier,Bulk Carrier-Small Handy,22596,0
1022160,OCEAN LEGACY,Vehicles Carrier,"PCC/PCTC => 4,000 cars",20244,0
1022172,OCEAN EXPRESS,Vehicles Carrier,"PCC/PCTC => 4,000 cars",20324,0
1022184,OCEAN NAVIGATOR,Vehicles Carrier,"PCC/PCTC => 4,000 cars",20235,0
1022213,KUM UN SAN 8,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5014,0
1022457,ATLANTIC DIAMOND,Crude/Oil Products Tanker,Tanker-LR2,114047,0
1022469,ATLANTIC GEM,Crude/Oil Products Tanker,Tanker-LR2,113988,0
1022483,SANKO UNO 13,Aggregates Carrier,Aggregates Carrier,6775,0
1022550,RADEN RAHADI,Anchor Handling Tug Supply,Anchor Handling Tug Supply,1356,0
1022562,RADEN RAJASWA,Anchor Handling Tug Supply,Anchor Handling Tug Supply,1500,0
1022586,RADEN RANGGAWUNI,Anchor Handling Tug Supply,Anchor Handling Tug Supply,1500,0
1022677,GEM EMERALD,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1022689,GEM DIAMOND,Chemical/Products Tanker,Tanker-MR2,49999,0
1022706,STENA CONTINENT,Chemical/Products Tanker,Tanker-MR2,49948,53
1022718,CRISTALLINA,Chemical/Products Tanker,Tanker-MR2,49999,53
1022720,MAULOA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13534,0
1022732,HOKKAIDO,Chemical/Products Tanker,Tanker-MR2,49948,53.6
1022744,ALTMANN,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1022823,EUREKA,Products Tanker,"Tanker-<=4,999dwt",3353,0
1022926,YUAN YI 008,Aggregates Carrier,Aggregates Carrier,10072,0
1023035,ONE SATISFACTION,Container Ship (Fully Cellular),Containership-New Panamax,161626,0
1023047,ONE SHINE,Container Ship (Fully Cellular),Containership-New Panamax,161719,0
1023059,ONE SOLIDARITY,Container Ship (Fully Cellular),Containership-New Panamax,161587,0
1023061,ONE SUCCESS,Container Ship (Fully Cellular),Containership-New Panamax,160200,0
1023073,ONE SUPERIOR,Container Ship (Fully Cellular),Containership-New Panamax,160200,0
1023085,IMABARI HIROSHIMA 2756,Container Ship (Fully Cellular),Containership-New Panamax,160200,0
1023097,LIANG RONG 007,Aggregates Carrier,Aggregates Carrier,1081,0
1023102,ONE SERENITY,Container Ship (Fully Cellular),Containership-New Panamax,161626,0
1023114,ONE SIMPLICITY,Container Ship (Fully Cellular),Containership-New Panamax,161626,0
1023126,ONE SUMMIT,Container Ship (Fully Cellular),Containership-New Panamax,161632,0
1023138,ONE SYMPHONY,Container Ship (Fully Cellular),Containership-New Panamax,160200,0
1023140,SHENG WANG 610,Aggregates Carrier,Aggregates Carrier,1474,0
1023164,XUAN TENG JI YUN,Container Ship (Fully Cellular),Containership-Regional Feeder,17000,0
1023176,CSM WYVERN,Products Tanker,"Tanker-<=4,999dwt",3004,0
1023229,HELENA RISING,General Cargo Ship,"General Cargo 10,000-14,999dwt",10866,0
1023231,CHANG FA 668,Bulk Carrier,"Bulk Carrier-5,000-7,499dwt",5840,0
1023243,HUI ZE LENG YUN 15,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",12499,0
1023322,NEW SPIROS,Crude/Oil Products Tanker,Tanker-LR2,116926,101.7
1023358,PRIVACY,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82066,0
1023360,NOVELTY,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82066,0
1023372,VERACITY,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82091,0
1023425,ADVANTAGE SOLO,Crude Oil Tanker,Tanker-Suezmax,157930,120.8
1023504,IOANNA,Bulk Carrier,Bulk Carrier-Handymax,41240,0
1023516,SOUTHERN RESONANCE,Crude Oil Tanker,Tanker-Aframax,114945,93
1023528,NAN YANG KAYA 1,General Cargo Ship,"General Cargo 10,000-14,999dwt",10616,0
1023530,RAWABI 215,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2047,0
1023542,RAWABI 218,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2030,0
1023554,RAWABI 216,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2078,0
1023566,RAWABI 217,Anchor Handling Tug Supply,Anchor Handling Tug Supply,2033,0
1023592,OCEAN ENDEAVOR,Bulk Carrier,Bulk Carrier-Handymax,41374,0
1023607,OCEAN FAIRLADY,Bulk Carrier,Bulk Carrier-Handymax,41403,0
1023619,HE XING 669,Aggregates Carrier,Aggregates Carrier,7232,0
1023700,ULTRA BENGUELA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13643,0
1023712,ULTRA AGULHAS,General Cargo Ship,"General Cargo 10,000-14,999dwt",13674,0
1023736,C. S. COSMOS,Bulk Carrier,Bulk Carrier-Large Handy,39841,0
1023839,FELICITY 8,Deck Cargo Ship,Deck Cargo Ship,4500,0
1023865,QINGCHENG,LNG Tanker,LNG-New Panamax,91160,115
1023920,MH HIGHLANDER,Crude/Oil Products Tanker,Tanker-LR2,114497,101.1
1023932,MH GLADIATOR,Crude/Oil Products Tanker,Tanker-LR2,114595,101.1
1023956,MAGIC SATURN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82144,0
1023968,AMERICA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82142,0
1023970,RGR OKINAWA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82062,0
1023982,SCION CHARLOTTE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82144,0
1024015,ATLANTIC MAJESTY,Crude/Oil Products Tanker,Tanker-LR2,117050,101.7
1024027,APOLLONIS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1024039,OKEANIS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1024211,AVRA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63600,0
1024297,GOLDEN ROCK,Aggregates Carrier,Aggregates Carrier,9000,0
1024364,PADMA LEADER,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18505,0
1024376,ANGELITE ACE,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18473,0
1024388,SG LAGOON,Bulk Carrier,Bulk Carrier-Newcastlemax,210141,0
1024390,CAPE WISTERIA,Bulk Carrier,Bulk Carrier-Capesize,182028,0
1024405,AMPHITRITE HIGHWAY,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18652,0
1024417,UNDINE HIGHWAY,Vehicles Carrier,"PCC/PCTC => 4,000 cars",18652,0
1024429,SSI FORMIDABLE II,Bulk Carrier,Bulk Carrier-Handymax,40617,0
1024431,AFRICAN SANDPIPER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63552,0
1024443,NORSE SEQUEL,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63552,0
1024455,BELGRACE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63718,0
1024467,ULTRA CONFIDENCE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63710,0
1024479,ULTRA ENDURANCE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63719,0
1024481,NAVE OHANA,Chemical/Products Tanker,Tanker-MR2,49994,0
1024493,NAVE HINA,Chemical/Products Tanker,Tanker-MR2,49996,51.3
1024508,PS TOKYO,Chemical/Products Tanker,Tanker-MR2,52789,0
1024510,UM MINAMI,Chemical/Products Tanker,Tanker-MR2,52772,0
1024522,MADOROSU,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63694,0
1024534,KEN CITRUS,Bulk Carrier,Bulk Carrier-Handymax,40087,0
1024572,MERAK,LPG Tanker,LPG-Very Large Gas Carrier,55354,68.7
1024584,MIZAR,LPG Tanker,LPG-Very Large Gas Carrier,55354,68.7
1024596,FIDELITY,Crude/Oil Products Tanker,Tanker-LR2,116982,101.7
1024601,FORTITUDE,Crude/Oil Products Tanker,Tanker-LR2,116984,101.7
1024613,INSPIRATION,Crude/Oil Products Tanker,Tanker-LR2,116855,101.6
1024625,SH UNITY,Crude/Oil Products Tanker,Tanker-LR2,116960,101.6
1024649,BH POWER,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82197,0
1024663,VISSERSBANK,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6346,0
1024742,LOMBOK STRAIT,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5000,0
1024754,TIANSHAN,LNG Tanker,LNG-New Panamax,91033,115
1024819,UN SON 8,General Cargo Ship,"General Cargo <=4,999 dwt",4500,0
1024845,MEI SHAN GANG 7,General Cargo Ship,"General Cargo 10,000-14,999dwt",13645,0
1024869,LAKE SHIRASAGI,Vehicles Carrier,"PCC/PCTC => 4,000 cars",19046,0
1024871,LAKE WAKATIPU,Vehicles Carrier,"PCC/PCTC => 4,000 cars",19081,0
1024883,YUAN DONG JI XIANG,Chemical/Products Tanker,"Tanker-<=4,999dwt",3498,12.3
1024895,YUAN DONG GE GE,Chemical/Products Tanker,"Tanker-<=4,999dwt",3499,0
1024900,YUAN DONG LI LIN,Chemical/Products Tanker,"Tanker-<=4,999dwt",4499,0
1024912,YUAN DONG LI YU,Chemical/Products Tanker,"Tanker-<=4,999dwt",4499,0
1024948,RODOS,Crude/Oil Products Tanker,Tanker-LR2,115069,101.6
1024950,KOS,Crude/Oil Products Tanker,Tanker-LR2,115026,0
1024962,KARPATHOS,Crude/Oil Products Tanker,Tanker-LR2,115059,101.6
1024974,KALYMNOS I,Crude/Oil Products Tanker,Tanker-LR2,115059,101.6
1024986,ASTYPALEA,Crude/Oil Products Tanker,Tanker-LR2,115071,0
1024998,SIMI,Crude/Oil Products Tanker,Tanker-LR2,115056,101.6
1025007,LEROS,Crude/Oil Products Tanker,Tanker-LR2,115047,101.6
1025019,NISYROS,Crude/Oil Products Tanker,Tanker-LR2,114800,0
1025021,HALKI I,Crude/Oil Products Tanker,Tanker-LR2,115043,0
1025174,FENG XIN DA 29,Container Ship (Fully Cellular),Containership-Regional Feeder,25319,0
1025186,HONG DA XIN 778,Container Ship (Fully Cellular),Containership-Regional Feeder,25287,0
1025203,EVER ECO,Container Ship (Fully Cellular),Containership-ULCS,184268,0
1025215,EVER EON,Container Ship (Fully Cellular),Containership-ULCS,184494,0
1025227,EVER ECHO,Container Ship (Fully Cellular),Containership-ULCS,183575,0
1025239,EVER EDIT,Container Ship (Fully Cellular),Containership-ULCS,183784,0
1025241,EVER EMIT,Container Ship (Fully Cellular),Containership-ULCS,183608,0
1025253,EVER EVEN,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025265,EVER ECLAT,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025277,SAMSUNG 2677,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025289,EVER EDUCE,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025291,SAMSUNG 2679,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025306,SAMSUNG 2680,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025318,SAMSUNG 2681,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025356,SOUTHWARD FLYING 278,Bulk Carrier,Bulk Carrier-Small Handy,11019,0
1025368,ENERGY TITAN,Products Tanker,"Tanker-<=4,999dwt",4821,0
1025370,SAMSUNG 2682,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025382,SAMSUNG 2683,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025394,SAMSUNG 2684,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025409,SAMSUNG 2685,Container Ship (Fully Cellular),Containership-ULCS,182000,0
1025411,CAPTAIN M. KYRIAKOU,Chemical/Products Tanker,Tanker-Handy,18330,30
1025423,HUANG HUAI,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",9541,0
1025435,SHUI RONG,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",9545,0
1025473,YONG SHUN,Container Ship (Fully Cellular),Containership-Regional Feeder,25000,0
1025485,ALKINOOS,Crude Oil Tanker,Tanker-Suezmax,155352,121
1025497,ARISTOKLIS,Crude Oil Tanker,Tanker-Suezmax,155374,0
1025502,ARCHELAOS,Crude Oil Tanker,Tanker-Suezmax,155363,121.6
1025514,ARISTODIMOS,Crude Oil Tanker,Tanker-Suezmax,155500,0
1025526,NORDATLANTIC,Container Ship (Fully Cellular),Containership-Regional Feeder,24625,0
1025538,NORDBALTIC,Container Ship (Fully Cellular),Containership-Regional Feeder,24580,0
1025540,DURANDE,Container Ship (Fully Cellular),Containership-Regional Feeder,24556,0
1025552,NORDSERAPHINA,Container Ship (Fully Cellular),Containership-Regional Feeder,24587,0
1025564,SEA PENGUIN,Crude/Oil Products Tanker,Tanker-LR2,113659,100.4
1025576,SEA ORCA,Crude/Oil Products Tanker,Tanker-LR2,113659,100.4
1025588,SEA WHALE,Crude/Oil Products Tanker,Tanker-LR2,113651,100.4
1025590,SEA CONDOR,Crude/Oil Products Tanker,Tanker-LR2,113659,100.4
1025708,HUA WEI 01,Aggregates Carrier,Aggregates Carrier,9000,0
1025760,HUA XIANG 6,Refrigerated Cargo Ship,"Reefer-=>8,000dwt",19314,0
1025784,XING AN HAI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82216,0
1025796,BH PROGRESS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82224,0
1025801,BH FORTUNE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82219,0
1025899,ALPHA LEGEND,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64029,0
1025916,ALPHA SPIRIT,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63600,0
1025928,AXION ESTI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63928,0
1025930,PANTOKRATOR,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63937,0
1025942,NEW FORTUNE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63894,0
1025954,NEW PROVIDENCE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63911,0
1025980,EREIKOUSA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1025992,MYTIKAS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82003,0
1026001,KEFALONIA I,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82019,0
1026013,KERKYRA I,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82083,0
1026025,KYTHIRA II,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82006,0
1026037,LEFKADA I,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82029,0
1026049,MATHRAKI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1026051,OTHONOI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,81992,0
1026063,PAXOS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1026075,ZAKYNTHOS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82000,0
1026099,XIN JI 6,Bulk Carrier,Bulk Carrier-Small Handy,16117,0
1026142,SIDDHI,Products Tanker,"Tanker-5,000-7,499dwt",5070,0
1026154,SHENG HANG HUA 16,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",7500,0
1026207,YONG SHUN 568,Aggregates Carrier,Aggregates Carrier,6529,0
1026219,YONG SHUN 588,Aggregates Carrier,Aggregates Carrier,10493,0
1026221,YONG SHUN 589,Aggregates Carrier,Aggregates Carrier,10227,0
1026269,SAMUDERA RAYA 8,General Cargo Ship,"General Cargo 5,000-9,999 dwt",5002,0
1026283,CENTURION BIZAN,Bulk Carrier,Bulk Carrier-Large Handy,39919,0
1026295,ATLANTIC OLIVE,Bulk Carrier,Bulk Carrier-Large Handy,39905,0
1026312,TAHO COMPLIANCE,Cement Carrier,Cement Carrier,23429,0
1026324,CAELUM ACE,Vehicles Carrier,"PCC/PCTC => 4,000 cars",19893,0
1026336,BONITA OLA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13560,0
1026374,XIN HUA MAO 006,Aggregates Carrier,Aggregates Carrier,8000,0
1026489,SHANDONG XIN DE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82152,0
1026491,SHANDONG XIN XING,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82138,0
1026506,SHANDONG XIN FU,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82159,0
1026518,SHANDONG XIN YOU,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82151,0
1026520,SHANDONG XIN GUO,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82147,0
1026532,SHANDONG XIN TAI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82147,0
1026544,SHANDONG XIN SHUN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82135,0
1026556,SHANDONG XIN CHANG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82161,0
1026568,SHANDONG XIN XIANG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82136,0
1026570,SHANDONG XIN ZE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82165,0
1026582,SHANDONG XIN RONG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82139,0
1026594,SHANDONG XIN SHENG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,81742,0
1026609,CHAMBERTIN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82145,0
1026611,MUSIGNY,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82133,0
1026635,ATHENIAN HORIZON,Chemical/Products Tanker,Tanker-Handy,18340,30
1026647,ATHENIAN GLORY,Chemical/Products Tanker,Tanker-Handy,18361,0
1026659,ATHENIAN FAITH,Chemical/Products Tanker,Tanker-Handy,18362,0
1026661,IYALOJA(LAGOS),LPG Tanker,LPG-Medium Gas Carrier,29842,46
1026673,TRUONG NGUYEN SKY,General Cargo Ship,"General Cargo 20,000-29,999dwt",24168,0
1026685,ASHARAMI GHANA,LPG Tanker,LPG-Medium Gas Carrier,29842,46
1026726,MTT BINTANGOR,Container Ship (Fully Cellular),Containership-Regional Feeder,27852,0
1026738,BAO DE 1116,Products Tanker,Tanker-Handy,13582,0
1026776,SAKURA THERESA,Chemical/Products Tanker,Tanker-Handy,13140,0
1026788,HIKARI THERESA,Chemical/Products Tanker,Tanker-Handy,13102,0
